Rank,Country,"GDP (PPP) billions of USD",Year| Country,"GDP (PPP) billions of USD",Year
-,European Union,"$20,850",2017 est.,"$25,399",2023 est.
1,Germany,"$4,171",2017 est.,"$5,545",2023 est.
2,Russia,"$4,008",2017 est.,"$4,998",2023 est.
3,United Kingdom,"$2,914",2017 est.,"$3,846",2023 est.
4,France,"$2,836",2017 est.,"$3,872",2023 est.
5,Italy,"$2,311",2017 est.,"$3,195",2023 est.
6,Turkey,"$2,173",2017 est.,"$3,572",2023 est.
7,Spain,"$1,774",2017 est.,"$2,363",2023 est.
8,Poland,"$1,121",2017 est.,"$1,705",2023 est.
9,Netherlands,$916.1,2017 est.,"$1,290",2023 est.
10,Belgium,$528.5,2017 est.,$766,2023 est.
11,Sweden,$520.9,2017 est.,$712,2023 est.
12,Switzerland,$517.2,2017 est.,$774,2023 est.
13,Romania,$481.5,2017 est.,$783,2023 est.
14,Kazakhstan,$477.6,2017 est.,$652,2023 est.
15,Austria,$439.6,2017 est.,$630,2023 est.
16,Norway,$380.0,2017 est.,$452,2023 est.
17,Czech Republic,$375.7,2017 est.,$536,2023 est.
18,Ukraine,$368.8,2017 est.,$444,2023 est.
19,Ireland,$357.2,2017 est.,$752,2023 est.
20,Portugal,$313.4,2017 est.,$460,2023 est.
21,Greece,$298.7,2017 est.,$418,2023 est.
22,Hungary,$289.0,2017 est.,$426,2023 est.
23,Denmark,$286.8,2017 est.,$432,2023 est.
24,Finland,$244.0,2017 est.,$338,2023 est.
25,Slovakia,$179.4,2017 est.,$225,2023 est.
26,Belarus,$178.9,2017 est.,$217,2023 est.
27,Azerbaijan,$171.8,2017 est.,$193,2023 est.
28,Bulgaria,$153.1,2017 est.,$216,2023 est.
29,Serbia,$105.5,2017 est.,$173,2023 est.
30,Croatia,$101.3,2017 est.,$163,2023 est.
31,Lithuania,$91.2,2017 est.,$137,2023 est.
32,Slovenia,$71.1,2017 est.,$111,2023 est.
33,Luxembourg,$62.7,2017 est.,$93,2023 est.
34,Latvia,$53.9,2017 est.,$76,2023 est.
35,Bosnia and Herzegovina,$44.6,2017 est.,$68,2023 est.
36,Estonia,$41.6,2017 est.,$61,2023 est.
37,Georgia,$39.7,2017 est.,$80,2023 est.
38,Albania,$36.0,2017 est.,$54,2023 est.
39,Cyprus,$31.6,2017 est.,$50,2023 est.
40,North Macedonia,$31.0,2017 est.,$43,2023 est.
41,Armenia,$28.3,2017 est.,$57,2023 est.
42,Moldova,$20.1,2017 est.,$42,2023 est.
43,Kosovo,$19.6,2017 est.,$27,2023 est.
44,Malta,$19.3,2017 est.,$32,2023 est.
45,Iceland,$17.7,2017 est.,$26,2023 est.
46,Montenegro,$10.1,2017 est.,$28,2023 est.
47,Monaco,$7.7,2015 est.,-,2023 est.
-,Isle of Man,$6.8,2015 est.,-,2023 est.
-,Jersey,$5.6,2016 est.,-,2023 est.
48,Liechtenstein,$5.0,2014 est.,-,2023 est.
-,Guernsey,$3.5,2015 est.,-,2023 est.
49,Andorra,$3.3,2015 est.,$5.7,2023 est.
50,San Marino,$2.1,2017 est.,"$2,6",2023 est.
-,Gibraltar,$2.0,2014 est.,-,2023 est.
-,Faroe Islands,$2.0,2014 est.,-,2023 est.
,Total,"$26,700",Total,"$41,141",
